"%s Item(s)","%s article(s)"
"Histoire Naturelle", "Muséum National d'Histoire Naturelle - Galerie de l'évolution"
"Les Ponts (Pont Saint-Louis, Pont Marie, Pont de Sully …)", "Les Ponts (Pont Saint-Louis, Pont Marie, Pont de Sully …)"
"Conciergerie", "Conciergerie"
"Collège des Bernardins", "Collège des Bernardins"
"Arènes de Lutèce", "Arènes de Lutèce"
"Fontaine Saint-Michel", "Fontaine Saint-Michel"
"Bibliothèque Sainte-Geneviève
"Bibliothèque Sainte-Geneviève", "Bibliothèque Sainte-Geneviève"
"Place Dauphine", "Place Dauphine" 
"Jardin Tino-Rossi", "Jardin Tino-Rossi"
"Musée des arts et métiers", "Musée des arts et métiers"
"Archives nationales", "Archives nationales"
"Musée art et histoire du judaisme", "Musée d'art et d'histoire du judaisme"
"Hôtel de Sully", "Hôtel de Sully"
"Maison Européenne de la photographie (MEP)", "Maison Européenne de la photographie (MEP)"
"Musée Cognacq-Jay", "Musée Cognacq-Jay"
"Mémorial de La Shoah", "Mémorial de La Shoah"
"Maison de Victor Hugo", "Maison de Victor Hugo"
"Quartier et marché des Enfants-Rouges", "Quartier et marché des Enfants-Rouges"
"Synagogue de la rue Pavée", "Synagogue de la rue Pavée"
"Musée de la Chasse et de la Nature", "Musée de la Chasse et de la Nature"
"Pont Saint-Louis", "Pont Saint-Louis"
"Eglise Saint-Eustache", "Eglise Saint-Eustache"
"Pavillon Arsenal", "Pavillon de l'Arsenal"
"Jardin des Halles", "Jardin des Halles"
"Galerie nationale du Jeu de Paume", "Galerie nationale du Jeu de Paume"
"Petit Palais", "Petit Palais"
"Espace culturel Louis-Vuitton", "Espace culturel Louis-Vuitton"
"Place de la Concorde", "Place de la Concorde"
"Palais Elysée", "Palais de L'Elysée"
"Pont Royal", "Pont Royal"
"Eglise Saint-Germain-lAuxerrois", "Eglise Saint-Germain-l'Auxerrois"
"Palais de la Découverte", "Palais de la Découverte"
"Musée des égouts", "Musée des égouts"
"Musée de lOrangerie", "Musée de l'Orangerie"
"Musée Guimet des arts asiatiques", "Musée Guimet des arts asiatiques"
"Musée de la Mode et du Textile", "Musée de la Mode et du Textile"
"Fondation Cartier pour lart contemporain", "Fondation Cartier pour l'?art contemporain"
"Zadkine Museum", "Musée Zadkine"
"Pont Neuf", "Pont Neuf"
"Pont des Arts", "Pont des Arts"
"Cimitière Montparnasse", "Cimitière Montparnasse"
"Eglise et place Saint-Sulpice", "Eglise et place Saint-Sulpice"
"Ecole nationale supérieure des beaux-arts", "Ecole nationale supérieure des beaux-arts"
"Eglise Notre Dame des Champs", "Eglise Notre Dame des Champs"
"Musée Eugène Delacroix", "Musée Eugène Delacroix"
"Place de Furstenberg", "Place de Furstenberg"
"Jardin du Luxembourg", "Jardin du Luxembourg"
"La Pagode", "La Pagode"
"Musée Bourdelle", "Musée Bourdelle"
"Chapelle Notre Dame de la Médaille Miraculeuse", "Chapelle Notre Dame de la Médaille Miraculeuse"
"Fondation dentreprise Ricard pour lart contemporain", "Fondation d'entreprise Ricard pour l'art contemporain"
"Musée de la Poste", "Musée de la Poste"
"Musée dart moderne (Ville de Paris)", "Musée d'art moderne (Ville de Paris)"
"Cité de larchitecture et du patrimoine", "Cité de l'architecture et du patrimoine"
"Maison de la culture du Japon à Paris", "Maison de la culture du Japon à Paris"
"Musée de lArmée", "Musée de l'Armée"
"Musée Maillol", "Musée Maillol"
"Musée de lHomme", "Musée de l'Homme"
"Musée de la Marine", "Musée de la Marine"
"Réplique de la Statue de la Liberté", "Réplique de la Statue de la Liberté"
"Esplanade des Invalides", "Esplanade des Invalides"
"Parc du Champ-de-Mars", "Parc du Champ-de-Mars"
"Jardins du Trocadéro", "Jardins du Trocadéro"
"Pont des Invalides", "Pont des Invalides"
"Pont de lAlma", "Pont de l'Alma"
